Model,N Observations,Adj R²,Variable,Coefficient,Std. Error (HC3),t-stat,p-value,95% CI Lower,95% CI Upper,Significance
M0 — Avg Fare per Trip (no weather),5701,0.552,Intercept,-15.4834,1.2612,-12.277,0.0,-17.9553,-13.0115,***
M0 — Avg Fare per Trip (no weather),5701,0.552,Average trip distance (miles),2.4144,0.066,36.574,0.0,2.285,2.5438,***
M0 — Avg Fare per Trip (no weather),5701,0.552,Average trip duration (minutes),-0.0226,0.0106,-2.126,0.0335,-0.0434,-0.0018,*
M0 — Avg Fare per Trip (no weather),5701,0.552,Prior-hour demand pressure,0.0065,0.0005,12.971,0.0,0.0055,0.0075,***
M0 — Avg Fare per Trip (no weather),5701,0.552,Driver pay share of fare,-15.4357,1.462,-10.558,0.0,-18.3012,-12.5702,***
M1 — Avg Fare per Trip + Weather (all seasons),5662,0.5595,Intercept,-14.6682,1.239,-11.839,0.0,-17.0965,-12.2399,***
M1 — Avg Fare per Trip + Weather (all seasons),5662,0.5595,Average trip distance (miles),2.4174,0.0651,37.14,0.0,2.2898,2.5449,***
M1 — Avg Fare per Trip + Weather (all seasons),5662,0.5595,Average trip duration (minutes),-0.0182,0.0107,-1.69,0.0909,-0.0392,0.0029,
M1 — Avg Fare per Trip + Weather (all seasons),5662,0.5595,Prior-hour demand pressure,0.0067,0.0005,13.652,0.0,0.0058,0.0077,***
M1 — Avg Fare per Trip + Weather (all seasons),5662,0.5595,Driver pay share of fare,-15.8337,1.4682,-10.785,0.0,-18.7113,-12.9561,***
M1 — Avg Fare per Trip + Weather (all seasons),5662,0.5595,Light rain (any precipitation),1.665,0.3309,5.032,0.0,1.0165,2.3136,***
M1 — Avg Fare per Trip + Weather (all seasons),5662,0.5595,Heavy rain (≥5 mm/hr),-0.95,1.3929,-0.682,0.4952,-3.6801,1.7801,
M1 — Avg Fare per Trip + Weather (all seasons),5662,0.5595,Precipitation amount (mm/hr),0.1321,0.1344,0.983,0.3257,-0.1314,0.3956,
M1 — Avg Fare per Trip + Weather (all seasons),5662,0.5595,Air temperature (°F),-0.0143,0.0036,-3.999,0.0001,-0.0213,-0.0073,***
M0 — Margin per Mile (no weather),5701,0.5748,Intercept,2.8664,0.0841,34.102,0.0,2.7016,3.0311,***
M0 — Margin per Mile (no weather),5701,0.5748,Average trip distance (miles),-0.0135,0.0037,-3.633,0.0003,-0.0208,-0.0062,***
M0 — Margin per Mile (no weather),5701,0.5748,Average trip duration (minutes),-0.0067,0.0004,-16.08,0.0,-0.0075,-0.0059,***
M0 — Margin per Mile (no weather),5701,0.5748,Prior-hour demand pressure,0.0001,0.0,8.627,0.0,0.0001,0.0002,***
M0 — Margin per Mile (no weather),5701,0.5748,Driver pay share of fare,-3.4535,0.0788,-43.803,0.0,-3.608,-3.2989,***
M1 — Margin per Mile + Weather (all seasons),5662,0.5839,Intercept,2.8475,0.086,33.097,0.0,2.6789,3.0161,***
M1 — Margin per Mile + Weather (all seasons),5662,0.5839,Average trip distance (miles),-0.0129,0.0038,-3.399,0.0007,-0.0203,-0.0055,***
M1 — Margin per Mile + Weather (all seasons),5662,0.5839,Average trip duration (minutes),-0.0075,0.0004,-17.553,0.0,-0.0083,-0.0066,***
M1 — Margin per Mile + Weather (all seasons),5662,0.5839,Prior-hour demand pressure,0.0002,0.0,9.438,0.0,0.0001,0.0002,***
M1 — Margin per Mile + Weather (all seasons),5662,0.5839,Driver pay share of fare,-3.4898,0.0812,-42.963,0.0,-3.649,-3.3306,***
M1 — Margin per Mile + Weather (all seasons),5662,0.5839,Light rain (any precipitation),0.073,0.0121,6.048,0.0,0.0494,0.0967,***
M1 — Margin per Mile + Weather (all seasons),5662,0.5839,Heavy rain (≥5 mm/hr),-0.0725,0.0563,-1.288,0.1977,-0.1828,0.0378,
M1 — Margin per Mile + Weather (all seasons),5662,0.5839,Precipitation amount (mm/hr),0.0051,0.0061,0.838,0.402,-0.0068,0.017,
M1 — Margin per Mile + Weather (all seasons),5662,0.5839,Air temperature (°F),0.001,0.0001,7.023,0.0,0.0007,0.0013,***
"M1-Original — Margin per Mile (cold hours only, replication of original work)",2205,0.5942,Intercept,2.8224,0.1346,20.976,0.0,2.5587,3.0861,***
"M1-Original — Margin per Mile (cold hours only, replication of original work)",2205,0.5942,Average trip distance (miles),-0.0074,0.0063,-1.162,0.2451,-0.0198,0.0051,
"M1-Original — Margin per Mile (cold hours only, replication of original work)",2205,0.5942,Average trip duration (minutes),-0.0129,0.0009,-13.881,0.0,-0.0147,-0.011,***
"M1-Original — Margin per Mile (cold hours only, replication of original work)",2205,0.5942,Prior-hour demand pressure,0.0001,0.0,4.179,0.0,0.0001,0.0002,***
"M1-Original — Margin per Mile (cold hours only, replication of original work)",2205,0.5942,Driver pay share of fare,-3.3641,0.1267,-26.549,0.0,-3.6124,-3.1157,***
"M1-Original — Margin per Mile (cold hours only, replication of original work)",2205,0.5942,Light rain (any precipitation),0.0847,0.0292,2.898,0.0038,0.0274,0.142,**
"M1-Original — Margin per Mile (cold hours only, replication of original work)",2205,0.5942,Heavy rain (≥5 mm/hr),-0.3337,0.2397,-1.392,0.1638,-0.8035,0.136,
"M1-Original — Margin per Mile (cold hours only, replication of original work)",2205,0.5942,Precipitation amount (mm/hr),0.0322,0.0323,0.996,0.3191,-0.0311,0.0955,
"M1-Original — Margin per Mile (cold hours only, replication of original work)",2205,0.5942,Wind chill temperature (°F) [cold hours only],0.0018,0.0005,3.858,0.0001,0.0009,0.0027,***
